"","Block","Base_File","Repeated","Insert","Degredation","Image"
"151",2,"065a.jpg",1,NA,75,"065a_75_1.png"
"152",2,"067b.jpg",1,NA,50,"067b_50_1.png"
"153",2,"068a.jpg",1,NA,50,"068a_50_1.png"
"154",2,"069a.jpg",1,NA,50,"069a_50_1.png"
"155",2,"070a.jpg",1,NA,0,"070a.jpg"
"156",2,"071a.jpg",1,NA,50,"071a_50_1.png"
"157",2,"072b.jpg",1,NA,0,"072b.jpg"
"158",2,"074b.jpg",1,NA,0,"074b.jpg"
"159",2,"075b.jpg",1,NA,75,"075b_75_1.png"
"160",2,"076a.jpg",1,NA,25,"076a_25_1.png"
"161",2,"077b.jpg",1,NA,25,"077b_25_1.png"
"162",2,"078a.jpg",1,NA,25,"078a_25_1.png"
"163",2,"079a.jpg",1,NA,0,"079a.jpg"
"164",2,"080b.jpg",1,NA,25,"080b_25_1.png"
"165",2,"081a.jpg",1,NA,0,"081a.jpg"
"166",2,"082a.jpg",1,NA,25,"082a_25_1.png"
"167",2,"083a.jpg",1,NA,25,"083a_25_1.png"
"168",2,"085a.jpg",1,NA,50,"085a_50_1.png"
"169",2,"086a.jpg",1,NA,0,"086a.jpg"
"170",2,"087a.jpg",1,NA,75,"087a_75_1.png"
"171",2,"088a.jpg",1,NA,50,"088a_50_1.png"
"172",2,"090a.jpg",1,NA,50,"090a_50_1.png"
"173",2,"091b.jpg",1,NA,75,"091b_75_1.png"
"174",2,"092a.jpg",1,NA,0,"092a.jpg"
"175",2,"093a.jpg",1,NA,25,"093a_25_1.png"
"176",2,"094a.jpg",1,NA,50,"094a_50_1.png"
"177",2,"096a.jpg",1,NA,0,"096a.jpg"
"178",2,"097a.jpg",1,NA,25,"097a_25_1.png"
"179",2,"099b.jpg",1,NA,75,"099b_75_1.png"
"180",2,"100a.jpg",1,NA,0,"100a.jpg"
"181",2,"003b.jpg",0,1,0,"003b.jpg"
"182",2,"028a.jpg",0,1,0,"028a.jpg"
"183",2,"066a.jpg",0,1,0,"066a.jpg"
"184",2,"073a.jpg",0,1,0,"073a.jpg"
"185",2,"098a.jpg",0,1,0,"098a.jpg"
"186",3,"002b.jpg",1,NA,75,"002b_75_2.png"
"187",3,"005b.jpg",1,NA,75,"005b_75_2.png"
"188",3,"007b.jpg",1,NA,75,"007b_75_2.png"
"189",3,"008b.jpg",1,NA,50,"008b_50_2.png"
"190",3,"009a.jpg",1,NA,25,"009a_25_2.png"
"191",3,"011a.jpg",1,NA,25,"011a_25_2.png"
"192",3,"012b.jpg",1,NA,25,"012b_25_2.png"
"193",3,"013b.jpg",1,NA,25,"013b_25_2.png"
"194",3,"014b.jpg",1,NA,50,"014b_50_2.png"
"195",3,"016a.jpg",1,NA,50,"016a_50_2.png"
"196",3,"017a.jpg",1,NA,75,"017a_75_2.png"
"197",3,"018a.jpg",1,NA,50,"018a_50_2.png"
"198",3,"019b.jpg",1,NA,0,"019b.jpg"
"199",3,"020b.jpg",1,NA,0,"020b.jpg"
"200",3,"021a.jpg",1,NA,0,"021a.jpg"
"201",3,"023b.jpg",1,NA,25,"023b_25_2.png"
"202",3,"024a.jpg",1,NA,25,"024a_25_2.png"
"203",3,"025a.jpg",1,NA,25,"025a_25_2.png"
"204",3,"026a.jpg",1,NA,0,"026a.jpg"
"205",3,"027b.jpg",1,NA,0,"027b.jpg"
"206",3,"029a.jpg",1,NA,75,"029a_75_2.png"
"207",3,"031a.jpg",1,NA,0,"031a.jpg"
"208",3,"032a.jpg",1,NA,75,"032a_75_2.png"
"209",3,"033b.jpg",1,NA,75,"033b_75_2.png"
"210",3,"034b.jpg",1,NA,50,"034b_50_2.png"
"211",3,"036b.jpg",1,NA,50,"036b_50_2.png"
"212",3,"037b.jpg",1,NA,50,"037b_50_2.png"
"213",3,"038b.jpg",1,NA,50,"038b_50_2.png"
"214",3,"039a.jpg",1,NA,50,"039a_50_2.png"
"215",3,"040a.jpg",1,NA,75,"040a_75_2.png"
"216",3,"041a.jpg",1,NA,75,"041a_75_2.png"
"217",3,"042b.jpg",1,NA,25,"042b_25_2.png"
"218",3,"043b.jpg",1,NA,75,"043b_75_2.png"
"219",3,"044a.jpg",1,NA,0,"044a.jpg"
"220",3,"045b.jpg",1,NA,75,"045b_75_2.png"
"221",3,"046b.jpg",1,NA,50,"046b_50_2.png"
"222",3,"047a.jpg",1,NA,75,"047a_75_2.png"
"223",3,"048b.jpg",1,NA,25,"048b_25_2.png"
"224",3,"049b.jpg",1,NA,25,"049b_25_2.png"
"225",3,"050b.jpg",1,NA,0,"050b.jpg"
"226",3,"052a.jpg",1,NA,75,"052a_75_2.png"
"227",3,"053b.jpg",1,NA,0,"053b.jpg"
"228",3,"054b.jpg",1,NA,50,"054b_50_2.png"
"229",3,"055b.jpg",1,NA,25,"055b_25_2.png"
"230",3,"056a.jpg",1,NA,25,"056a_25_2.png"
"231",3,"057b.jpg",1,NA,0,"057b.jpg"
"232",3,"059b.jpg",1,NA,75,"059b_75_2.png"
"233",3,"062a.jpg",1,NA,75,"062a_75_2.png"
"234",3,"063b.jpg",1,NA,50,"063b_50_2.png"
"235",3,"064b.jpg",1,NA,0,"064b.jpg"
"236",3,"065a.jpg",1,NA,75,"065a_75_2.png"
"237",3,"067b.jpg",1,NA,50,"067b_50_2.png"
"238",3,"068a.jpg",1,NA,50,"068a_50_2.png"
"239",3,"069a.jpg",1,NA,50,"069a_50_2.png"
"240",3,"070a.jpg",1,NA,0,"070a.jpg"
"241",3,"071a.jpg",1,NA,50,"071a_50_2.png"
"242",3,"072b.jpg",1,NA,0,"072b.jpg"
"243",3,"074b.jpg",1,NA,0,"074b.jpg"
"244",3,"075b.jpg",1,NA,75,"075b_75_2.png"
"245",3,"076a.jpg",1,NA,25,"076a_25_2.png"
"246",3,"077b.jpg",1,NA,25,"077b_25_2.png"
"247",3,"078a.jpg",1,NA,25,"078a_25_2.png"
"248",3,"079a.jpg",1,NA,0,"079a.jpg"
"249",3,"080b.jpg",1,NA,25,"080b_25_2.png"
"250",3,"081a.jpg",1,NA,0,"081a.jpg"
"251",3,"082a.jpg",1,NA,25,"082a_25_2.png"
"252",3,"083a.jpg",1,NA,25,"083a_25_2.png"
"253",3,"085a.jpg",1,NA,50,"085a_50_2.png"
"254",3,"086a.jpg",1,NA,0,"086a.jpg"
"255",3,"087a.jpg",1,NA,75,"087a_75_2.png"
"256",3,"088a.jpg",1,NA,50,"088a_50_2.png"
"257",3,"090a.jpg",1,NA,50,"090a_50_2.png"
"258",3,"091b.jpg",1,NA,75,"091b_75_2.png"
"259",3,"092a.jpg",1,NA,0,"092a.jpg"
"260",3,"093a.jpg",1,NA,25,"093a_25_2.png"
"261",3,"094a.jpg",1,NA,50,"094a_50_2.png"
"262",3,"096a.jpg",1,NA,0,"096a.jpg"
"263",3,"097a.jpg",1,NA,25,"097a_25_2.png"
"264",3,"099b.jpg",1,NA,75,"099b_75_2.png"
"265",3,"100a.jpg",1,NA,0,"100a.jpg"
"266",3,"015a.jpg",0,2,0,"015a.jpg"
"267",3,"060b.jpg",0,2,0,"060b.jpg"
"268",3,"061a.jpg",0,2,0,"061a.jpg"
"269",3,"089b.jpg",0,2,0,"089b.jpg"
"270",3,"095b.jpg",0,2,0,"095b.jpg"
"271",4,"002b.jpg",1,NA,75,"002b_75_3.png"
"272",4,"005b.jpg",1,NA,75,"005b_75_3.png"
"273",4,"007b.jpg",1,NA,75,"007b_75_3.png"
"274",4,"008b.jpg",1,NA,50,"008b_50_3.png"
"275",4,"009a.jpg",1,NA,25,"009a_25_3.png"
"276",4,"011a.jpg",1,NA,25,"011a_25_3.png"
"277",4,"012b.jpg",1,NA,25,"012b_25_3.png"
"278",4,"013b.jpg",1,NA,25,"013b_25_3.png"
"279",4,"014b.jpg",1,NA,50,"014b_50_3.png"
"280",4,"016a.jpg",1,NA,50,"016a_50_3.png"
"281",4,"017a.jpg",1,NA,75,"017a_75_3.png"
"282",4,"018a.jpg",1,NA,50,"018a_50_3.png"
"283",4,"019b.jpg",1,NA,0,"019b.jpg"
"284",4,"020b.jpg",1,NA,0,"020b.jpg"
"285",4,"021a.jpg",1,NA,0,"021a.jpg"
"286",4,"023b.jpg",1,NA,25,"023b_25_3.png"
"287",4,"024a.jpg",1,NA,25,"024a_25_3.png"
"288",4,"025a.jpg",1,NA,25,"025a_25_3.png"
"289",4,"026a.jpg",1,NA,0,"026a.jpg"
"290",4,"027b.jpg",1,NA,0,"027b.jpg"
"291",4,"029a.jpg",1,NA,75,"029a_75_3.png"
"292",4,"031a.jpg",1,NA,0,"031a.jpg"
"293",4,"032a.jpg",1,NA,75,"032a_75_3.png"
"294",4,"033b.jpg",1,NA,75,"033b_75_3.png"
"295",4,"034b.jpg",1,NA,50,"034b_50_3.png"
"296",4,"036b.jpg",1,NA,50,"036b_50_3.png"
"297",4,"037b.jpg",1,NA,50,"037b_50_3.png"
"298",4,"038b.jpg",1,NA,50,"038b_50_3.png"
"299",4,"039a.jpg",1,NA,50,"039a_50_3.png"
"300",4,"040a.jpg",1,NA,75,"040a_75_3.png"
"301",4,"041a.jpg",1,NA,75,"041a_75_3.png"
"302",4,"042b.jpg",1,NA,25,"042b_25_3.png"
"303",4,"043b.jpg",1,NA,75,"043b_75_3.png"
"304",4,"044a.jpg",1,NA,0,"044a.jpg"
"305",4,"045b.jpg",1,NA,75,"045b_75_3.png"
"306",4,"046b.jpg",1,NA,50,"046b_50_3.png"
"307",4,"047a.jpg",1,NA,75,"047a_75_3.png"
"308",4,"048b.jpg",1,NA,25,"048b_25_3.png"
"309",4,"049b.jpg",1,NA,25,"049b_25_3.png"
"310",4,"050b.jpg",1,NA,0,"050b.jpg"
